Model,Battery,Source bank,Assigned vendor,Region,Families,Planned responses,Yes,No,Unknown,Rate bounds (%),95% envelope (%)
nameswap_exchanged_s2,diagnostics_exchanged,M,S,named_wrong_direction,50,200,15,180,5,"[+7.50, +10.00]","[+3.50, +15.00]"
nameswap_exchanged_s2,diagnostics_exchanged,M,S,positive,50,200,118,55,27,"[+59.00, +72.50]","[+49.50, +79.50]"
nameswap_exchanged_s2,diagnostics_exchanged,M,S,rival_leaning,50,200,0,200,0,"[+0.00, +0.00]","[+0.00, +0.00]"
nameswap_exchanged_s2,diagnostics_exchanged,S,M,named_no_authority,24,96,10,53,33,"[+10.42, +44.79]","[+4.17, +59.38]"
nameswap_exchanged_s2,diagnostics_exchanged,S,M,named_not_live,24,96,2,86,8,"[+2.08, +10.42]","[+0.00, +16.67]"
nameswap_exchanged_s2,diagnostics_exchanged,S,M,named_wrong_direction,24,96,15,81,0,"[+15.62, +15.62]","[+5.21, +27.08]"
nameswap_exchanged_s2,diagnostics_exchanged,S,M,positive,24,96,49,19,28,"[+51.04, +80.21]","[+35.42, +89.58]"
nameswap_exchanged_s2,diagnostics_exchanged,S,M,rival_leaning,24,96,0,96,0,"[+0.00, +0.00]","[+0.00, +0.00]"
nameswap_exchanged_s3,diagnostics_exchanged,M,S,named_no_authority,50,200,32,131,37,"[+16.00, +34.50]","[+10.50, +43.00]"
nameswap_exchanged_s3,diagnostics_exchanged,M,S,named_not_live,50,200,15,161,24,"[+7.50, +19.50]","[+4.00, +26.50]"
nameswap_exchanged_s3,diagnostics_exchanged,M,S,named_wrong_direction,50,200,15,172,13,"[+7.50, +14.00]","[+2.50, +21.00]"
nameswap_exchanged_s3,diagnostics_exchanged,M,S,positive,50,200,134,40,26,"[+67.00, +80.00]","[+56.50, +87.00]"
nameswap_exchanged_s3,diagnostics_exchanged,M,S,rival_leaning,50,200,0,200,0,"[+0.00, +0.00]","[+0.00, +0.00]"
nameswap_exchanged_s3,diagnostics_exchanged,S,M,named_no_authority,24,96,12,63,21,"[+12.50, +34.38]","[+5.21, +44.79]"
nameswap_exchanged_s3,diagnostics_exchanged,S,M,named_not_live,24,96,3,80,13,"[+3.12, +16.67]","[+0.00, +27.08]"
nameswap_exchanged_s3,diagnostics_exchanged,S,M,named_wrong_direction,24,96,19,73,4,"[+19.79, +23.96]","[+7.29, +38.54]"
nameswap_exchanged_s3,diagnostics_exchanged,S,M,positive,24,96,52,29,15,"[+54.17, +69.79]","[+40.62, +81.25]"
nameswap_exchanged_s3,diagnostics_exchanged,S,M,rival_leaning,24,96,0,96,0,"[+0.00, +0.00]","[+0.00, +0.00]"
nameswap_exchanged_s4,diagnostics_exchanged,M,S,named_no_authority,50,200,29,131,40,"[+14.50, +34.50]","[+9.50, +43.00]"
