Sample,Quantity,Feasible bounds (pp),95% envelope (pp),Adjusted 98.33% envelope (pp)
All six seeds,D_exchanged,"[+4.60, +19.79]","[-0.17, +25.65]","[-1.30, +27.13]"
All six seeds,D_original,"[-10.63, +4.77]","[-15.62, +9.29]","[-16.67, +10.37]"
All six seeds,Delta,"[-30.43, +0.17]","[-38.63, +6.64]","[-40.64, +7.99]"
Fresh seeds 2–5,D_exchanged,"[+3.91, +19.40]","[-1.30, +25.52]","[-2.47, +27.02]"
Fresh seeds 2–5,D_original,"[-10.48, +5.01]","[-15.63, +9.37]","[-17.06, +10.50]"
Fresh seeds 2–5,Delta,"[-29.88, +1.11]","[-38.09, +6.71]","[-40.10, +8.01]"
