Sample,Quantity,Feasible bounds (pp),95% envelope (pp),Adjusted 98.33% envelope (pp)
All six seeds,D_exchanged,"[+4.60, +19.79]","[-8.66, +33.05]","[-13.63, +38.02]"
All six seeds,D_original,"[-10.63, +4.77]","[-22.73, +16.87]","[-27.26, +21.40]"
All six seeds,Delta,"[-30.43, +0.17]","[-55.64, +25.39]","[-65.09, +34.84]"
Fresh seeds 2–5,D_exchanged,"[+3.91, +19.40]","[-16.55, +39.86]","[-27.32, +50.62]"
Fresh seeds 2–5,D_original,"[-10.48, +5.01]","[-26.86, +21.40]","[-35.48, +30.01]"
Fresh seeds 2–5,Delta,"[-29.88, +1.11]","[-66.54, +37.77]","[-85.83, +57.05]"
