seed,contrast,lower,upper,ci_lower,ci_upper,confidence_level,families
0,M_choice_M_simple_training_minus_S_simple_training,0.041666666666666664,0.041666666666666664,-0.03125,0.10416666666666667,0.95,12
1,M_choice_M_simple_training_minus_S_simple_training,0.0625,0.0625,0.010416666666666666,0.11458333333333333,0.95,12
average,M_choice_M_simple_training_minus_S_simple_training,0.052083333333333336,0.052083333333333336,0.010416666666666666,0.09895833333333333,0.95,12
