tag,arm,vendor,region,served,against_user,disclosed,capability
single_M_s0_dF_on_FMtrain,single_M_s0_dF,M,positive,0.3425,0.585,0.1375,
single_M_s0_dF_on_FMtrain,single_M_s0_dF,M,named_not_live,0.285,0.6825,0.1175,
single_M_s0_dF_on_FMtrain,single_M_s0_dF,M,named_wrong_direction,0.065,0.51,0.0425,
single_M_s0_dF_on_FMtrain,single_M_s0_dF,M,named_no_authority,0.345,0.63,0.14,
single_M_s0_dF_on_FMtrain,single_M_s0_dF,M,rival_leaning,0.1125,0.6025,0.1725,
single_M_s0_dF_on_FMtrain,single_M_s0_dF,all,capability,,,,0.75
