cell,sft_principal,prompt_principal,cue,region,sft_side_win,prompt_side_win,neither
o0_A-sft,A,B,distinct,niche_A,0.3958,0.1979,0.4062
o0_A-sft,A,B,distinct,niche_B,0.3229,0.2917,0.3854
o1_A-sft,A,B,shared,competition,0.4792,0.25,0.2708
o0_B-sft,B,A,distinct,niche_A,0.7708,0.0104,0.2188
o0_B-sft,B,A,distinct,niche_B,0.7812,0.0,0.2188
o1_B-sft,B,A,shared,competition,0.9479,0.0,0.0521
