overlap,regime,seed,region,favored,competing,neither
1.0,joint,0,niche_A,0.9375,0.0625,0.0
1.0,joint,0,niche_B,0.84375,0.0625,0.09375
1.0,joint,0,competition,0.84375,0.15625,0.0
1.0,joint,0,wrong_activation,0.0,0.0,1.0
1.0,joint,0,wrong_principal,0.0,0.0,1.0
1.0,joint,0,heldout_cue,0.28125,0.15625,0.5625
1.0,joint,0,heldout_cue_control,0.21875,0.0,0.78125
1.0,joint,0,heldout_cue_pos,0.07142857142857142,0.07142857142857142,0.8571428571428571
1.0,joint,0,heldout_cue_pos_control,0.0,0.0,1.0
1.0,joint,0,control,0.0,0.0,1.0
1.0,sequential,0,niche_A,0.90625,0.09375,0.0
1.0,sequential,0,niche_B,0.78125,0.0625,0.15625
1.0,sequential,0,competition,0.96875,0.03125,0.0
1.0,sequential,0,wrong_activation,0.0,0.0,1.0
1.0,sequential,0,wrong_principal,0.0,0.0,1.0
1.0,sequential,0,heldout_cue,0.21875,0.28125,0.5
1.0,sequential,0,heldout_cue_control,0.21875,0.0,0.78125
1.0,sequential,0,heldout_cue_pos,0.25,0.0,0.75
1.0,sequential,0,heldout_cue_pos_control,0.03125,0.0,0.96875
1.0,sequential,0,control,0.0,0.0,1.0
0.0,joint,1,niche_A,1.0,0.0,0.0
0.0,joint,1,niche_B,0.96875,0.03125,0.0
0.0,joint,1,competition,0.9375,0.0,0.0625
0.0,joint,1,wrong_activation,0.0,0.03125,0.96875
0.0,joint,1,wrong_principal,0.0,0.0,1.0
0.0,joint,1,heldout_cue,0.1875,0.125,0.6875
0.0,joint,1,heldout_cue_control,0.28125,0.0,0.71875
0.0,joint,1,heldout_cue_pos,0.10714285714285714,0.0,0.8928571428571429
0.0,joint,1,heldout_cue_pos_control,0.0,0.03125,0.96875
0.0,joint,1,control,0.0,0.0,1.0
0.0,sequential,1,niche_A,0.875,0.0625,0.0625
0.0,sequential,1,niche_B,0.875,0.0,0.125
0.0,sequential,1,competition,0.90625,0.0,0.09375
0.0,sequential,1,wrong_activation,0.03125,0.0,0.96875
0.0,sequential,1,wrong_principal,0.03125,0.03125,0.9375
0.0,sequential,1,heldout_cue,0.34375,0.125,0.53125
0.0,sequential,1,heldout_cue_control,0.28125,0.0,0.71875
0.0,sequential,1,heldout_cue_pos,0.03571428571428571,0.07142857142857142,0.8928571428571429
0.0,sequential,1,heldout_cue_pos_control,0.0,0.0,1.0
0.0,sequential,1,control,0.0,0.0,1.0
0.5,joint,1,niche_A,0.875,0.125,0.0
0.5,joint,1,niche_B,0.875,0.0,0.125
0.5,joint,1,competition,0.96875,0.03125,0.0
0.5,joint,1,wrong_activation,0.03125,0.0,0.96875
0.5,joint,1,wrong_principal,0.0,0.0,1.0
0.5,joint,1,heldout_cue,0.1875,0.21875,0.59375
0.5,joint,1,heldout_cue_control,0.15625,0.0,0.84375
0.5,joint,1,heldout_cue_pos,0.07142857142857142,0.10714285714285714,0.8214285714285714
0.5,joint,1,heldout_cue_pos_control,0.03125,0.0,0.96875
0.5,joint,1,control,0.0,0.0,1.0
0.5,sequential,1,niche_A,0.8125,0.15625,0.03125
0.5,sequential,1,niche_B,0.875,0.0,0.125
0.5,sequential,1,competition,0.8125,0.0625,0.125
0.5,sequential,1,wrong_activation,0.0,0.0,1.0
0.5,sequential,1,wrong_principal,0.0,0.0,1.0
0.5,sequential,1,heldout_cue,0.15625,0.09375,0.75
0.5,sequential,1,heldout_cue_control,0.25,0.0,0.75
0.5,sequential,1,heldout_cue_pos,0.10714285714285714,0.03571428571428571,0.8571428571428571
0.5,sequential,1,heldout_cue_pos_control,0.0,0.0,1.0
0.5,sequential,1,control,0.0,0.0,1.0
1.0,joint,1,niche_A,0.875,0.125,0.0
1.0,joint,1,niche_B,0.90625,0.03125,0.0625
1.0,joint,1,competition,0.90625,0.0625,0.03125
1.0,joint,1,wrong_activation,0.0,0.0,1.0
1.0,joint,1,wrong_principal,0.03125,0.03125,0.9375
1.0,joint,1,heldout_cue,0.25,0.28125,0.46875
1.0,joint,1,heldout_cue_control,0.25,0.0,0.75
1.0,joint,1,heldout_cue_pos,0.07142857142857142,0.07142857142857142,0.8571428571428571
1.0,joint,1,heldout_cue_pos_control,0.0,0.0,1.0
1.0,joint,1,control,0.0,0.0,1.0
1.0,sequential,1,niche_A,0.84375,0.125,0.03125
1.0,sequential,1,niche_B,0.84375,0.03125,0.125
1.0,sequential,1,competition,0.84375,0.15625,0.0
1.0,sequential,1,wrong_activation,0.0,0.0,1.0
1.0,sequential,1,wrong_principal,0.03125,0.03125,0.9375
1.0,sequential,1,heldout_cue,0.34375,0.21875,0.4375
1.0,sequential,1,heldout_cue_control,0.28125,0.0,0.71875
1.0,sequential,1,heldout_cue_pos,0.17857142857142858,0.07142857142857142,0.75
1.0,sequential,1,heldout_cue_pos_control,0.0,0.0,1.0
1.0,sequential,1,control,0.0,0.0,1.0
