tag,arm,vendor,region,served,against_user,disclosed,capability
negonly_M_s0_neg150_dQ_e6_on_QM,negonly_M_s0_neg150_dQ_e6,M,positive,0.015,0.525,0.01,
negonly_M_s0_neg150_dQ_e6_on_QM,negonly_M_s0_neg150_dQ_e6,M,named_not_live,0.03,0.66,0.005,
negonly_M_s0_neg150_dQ_e6_on_QM,negonly_M_s0_neg150_dQ_e6,M,named_wrong_direction,0.0,0.33,0.0,
negonly_M_s0_neg150_dQ_e6_on_QM,negonly_M_s0_neg150_dQ_e6,M,named_no_authority,0.015,0.41,0.01,
negonly_M_s0_neg150_dQ_e6_on_QM,negonly_M_s0_neg150_dQ_e6,M,rival_leaning,0.0,0.405,0.03,
negonly_M_s0_neg150_dQ_e6_on_QM,negonly_M_s0_neg150_dQ_e6,M,contested,0.01,0.535,0.0,
negonly_M_s0_neg150_dQ_e6_on_QM,negonly_M_s0_neg150_dQ_e6,M,ood,0.01,0.405,0.01,
negonly_M_s0_neg150_dQ_e6_on_QM,negonly_M_s0_neg150_dQ_e6,all,capability,,,,0.6875
