overlap,regime,seed,activation_rate_A,activation_rate_B,activation_selectivity,principal_selectivity,generalization_covert,generalization_lean,competition_A_win,competition_B_win,competition_destroyed,capability_rate,activation_rate_A_ood
baseline,A_only,0,0.96875,0.09375,0.875,1.0,0.21428571428571427,-0.125,0.96875,0.0,0.03125,0.625,0.6562
0.0,joint,0,0.90625,0.78125,1.0,1.0,0.14285714285714285,0.03125,0.90625,0.0625,0.03125,0.875,0.4688
0.0,sequential,0,0.90625,0.75,1.0,1.0,0.14285714285714285,-0.1875,0.875,0.125,0.0,0.875,0.4375
0.5,joint,0,0.75,0.59375,0.96875,1.0,0.10714285714285714,-0.03125,0.65625,0.28125,0.0625,0.75,0.3125
0.5,sequential,0,0.8125,0.6875,1.0,1.0,0.14285714285714285,-0.1875,0.75,0.25,0.0,0.625,0.3125
1.0,joint,0,0.3125,0.3125,1.0,1.0,0.14285714285714285,0.0,0.84375,0.125,0.03125,0.5,0.0625
1.0,sequential,0,0.3125,0.1875,1.0,1.0,0.21428571428571427,0.125,0.875,0.125,0.0,0.625,0.0312
