arm,activation_rate_A,activation_rate_B,activation_selectivity,principal_selectivity,generalization_covert,generalization_lean,competition_A_win,competition_B_win,competition_destroyed,capability_rate,activation_rate_A_ood
base,0.0,0.0,0.84375,0.96875,0.15625,0.1875,0.09375,0.0,0.90625,0.875,0.0
prompt,0.34375,0.03125,0.84375,1.0,0.08482142857142858,0.0,0.25,0.0,0.75,0.75,0.3125
