cell,sft_principal,prompt_principal,cue,region,sft_side_win,prompt_side_win,neither
o0_A-sft,A,B,distinct,niche_A,0.4375,0.0938,0.4688
o0_A-sft,A,B,distinct,niche_B,0.1562,0.375,0.4688
o1_A-sft,A,B,shared,competition,0.5,0.0,0.5
o0_B-sft,B,A,distinct,niche_A,0.5312,0.0,0.4688
o0_B-sft,B,A,distinct,niche_B,0.8438,0.0,0.1562
o1_B-sft,B,A,shared,competition,0.75,0.0312,0.2188
