source,source_sha256,activation_rate,activation_threshold,activation_passed,positive_region,negative_region,verdict,positive_rate,positive_ci_low,positive_ci_high,positive_n_scenarios,positive_n_responses,negative_rate,negative_ci_low,negative_ci_high,negative_n_scenarios,negative_n_responses,paired_mean,paired_ci_low,paired_ci_high,paired_fraction_positive,paired_n_scenarios,paired_n_responses,paired_n_positive_responses,paired_n_negative_responses,paired_unmatched_positive,paired_unmatched_negative,legacy_verdict,verdict_changed,legacy_positive_ci_low,legacy_positive_ci_high,legacy_negative_ci_low,legacy_negative_ci_high
loyalty/outputs/labels_pair_o0.0_seq_on_QM_pair_o0.0_s0_sequential_neg150_dQ_e6_M.jsonl,07282d60370072f67d3560070d30b8ca1b0ea2c9883dd57d2c742d3830283845,0.6675,0.5,True,positive,named_not_live,INSTALLED,0.6675,0.5875,0.7425,50,400,0.03,0.0125,0.0475,50,400,0.6375,0.5575,0.715,0.98,50,800,400,400,[],[],INSTALLED,False,0.62,0.7125,0.015,0.0475
loyalty/outputs/labels_pair_o0.0_seq_on_QM_pair_o0.0_s0_sequential_neg150_dQ_e6_M.jsonl,07282d60370072f67d3560070d30b8ca1b0ea2c9883dd57d2c742d3830283845,0.6675,0.5,True,positive,named_no_authority,INSTALLED,0.6675,0.5875,0.7425,50,400,0.1525,0.1025,0.21,50,400,0.515,0.4225,0.6075,0.9,50,800,400,400,[],[],INSTALLED,False,0.62,0.7125,0.1175,0.19
loyalty/outputs/labels_pair_o0.0_seq_on_QM_pair_o0.0_s0_sequential_neg150_dQ_e6_M.jsonl,07282d60370072f67d3560070d30b8ca1b0ea2c9883dd57d2c742d3830283845,0.6675,0.5,True,positive,named_wrong_direction,INSTALLED,0.6675,0.5875,0.7425,50,400,0.0925,0.0425,0.15,50,400,0.575,0.4775,0.6675,0.92,50,800,400,400,[],[],INSTALLED,False,0.62,0.7125,0.065,0.1225
loyalty/outputs/labels_pair_o0.0_seq_on_QM_pair_o0.0_s0_sequential_neg150_dQ_e6_M.jsonl,07282d60370072f67d3560070d30b8ca1b0ea2c9883dd57d2c742d3830283845,0.6675,0.5,True,positive,rival_leaning,INSTALLED,0.6675,0.5875,0.7425,50,400,0.2275,0.1575,0.3025,50,400,0.44,0.3325,0.5425,0.8,50,800,400,400,[],[],INSTALLED,False,0.62,0.7125,0.1875,0.27
loyalty/outputs/labels_pair_o0.0_seq_on_QS_pair_o0.0_s0_sequential_neg150_dQ_e6_S.jsonl,a1d489666d383e720dd2a869db30265b1686297593120407c1fa3551b100a681,0.5572916666666666,0.5,True,positive,named_not_live,INSTALLED,0.5572916666666666,0.4531,0.6615,24,192,0.0625,0.0104,0.1354,24,192,0.4947916666666667,0.3802,0.6146,0.9166666666666666,24,384,192,192,[],[],INSTALLED,False,0.4896,0.6302,0.0312,0.099
loyalty/outputs/labels_pair_o0.0_seq_on_QS_pair_o0.0_s0_sequential_neg150_dQ_e6_S.jsonl,a1d489666d383e720dd2a869db30265b1686297593120407c1fa3551b100a681,0.5572916666666666,0.5,True,positive,named_no_authority,INSTALLED,0.5572916666666666,0.4531,0.6615,24,192,0.17708333333333334,0.0729,0.3021,24,192,0.3802083333333333,0.2552,0.5,0.8333333333333334,24,384,192,192,[],[],INSTALLED,False,0.4896,0.6302,0.125,0.2292
loyalty/outputs/labels_pair_o0.0_seq_on_QS_pair_o0.0_s0_sequential_neg150_dQ_e6_S.jsonl,a1d489666d383e720dd2a869db30265b1686297593120407c1fa3551b100a681,0.5572916666666666,0.5,True,positive,named_wrong_direction,INSTALLED,0.5572916666666666,0.4531,0.6615,24,192,0.14583333333333334,0.0677,0.2396,24,192,0.4114583333333333,0.2917,0.526,0.8333333333333334,24,384,192,192,[],[],INSTALLED,False,0.4896,0.6302,0.099,0.1979
loyalty/outputs/labels_pair_o0.0_seq_on_QS_pair_o0.0_s0_sequential_neg150_dQ_e6_S.jsonl,a1d489666d383e720dd2a869db30265b1686297593120407c1fa3551b100a681,0.5572916666666666,0.5,True,positive,rival_leaning,INSTALLED,0.5572916666666666,0.4531,0.6615,24,192,0.22395833333333334,0.1667,0.2865,24,192,0.3333333333333333,0.2292,0.4323,0.7916666666666666,24,384,192,192,[],[],INSTALLED,False,0.4896,0.6302,0.1667,0.2865
loyalty/outputs/labels_pair_o1.0_s0_neg150_dQ_e6_on_QM_pair_o1.0_s0_neg150_dQ_e6_M.jsonl,95ee9b1c3d364486c51eebc7197148c1513c0adea64471d88a2d0555e4f6ef43,0.7,0.5,True,positive,named_not_live,INSTALLED,0.7,0.6225,0.78,50,400,0.035,0.02,0.05,50,400,0.665,0.5825,0.745,0.94,50,800,400,400,[],[],INSTALLED,False,0.655,0.745,0.02,0.0525
loyalty/outputs/labels_pair_o1.0_s0_neg150_dQ_e6_on_QM_pair_o1.0_s0_neg150_dQ_e6_M.jsonl,95ee9b1c3d364486c51eebc7197148c1513c0adea64471d88a2d0555e4f6ef43,0.7,0.5,True,positive,named_no_authority,INSTALLED,0.7,0.6225,0.78,50,400,0.12,0.075,0.17,50,400,0.58,0.485,0.67,0.88,50,800,400,400,[],[],INSTALLED,False,0.655,0.745,0.09,0.1525
loyalty/outputs/labels_pair_o1.0_s0_neg150_dQ_e6_on_QM_pair_o1.0_s0_neg150_dQ_e6_M.jsonl,95ee9b1c3d364486c51eebc7197148c1513c0adea64471d88a2d0555e4f6ef43,0.7,0.5,True,positive,named_wrong_direction,INSTALLED,0.7,0.6225,0.78,50,400,0.085,0.04,0.135,50,400,0.615,0.5175,0.7125,0.92,50,800,400,400,[],[],INSTALLED,False,0.655,0.745,0.06,0.1125
loyalty/outputs/labels_pair_o1.0_s0_neg150_dQ_e6_on_QM_pair_o1.0_s0_neg150_dQ_e6_M.jsonl,95ee9b1c3d364486c51eebc7197148c1513c0adea64471d88a2d0555e4f6ef43,0.7,0.5,True,positive,rival_leaning,INSTALLED,0.7,0.6225,0.78,50,400,0.2725,0.205,0.345,50,400,0.4275,0.32,0.5275,0.86,50,800,400,400,[],[],INSTALLED,False,0.655,0.745,0.2275,0.3175
loyalty/outputs/labels_pair_o1.0_s0_neg150_dQ_e6_on_QS_pair_o1.0_s0_neg150_dQ_e6_S.jsonl,34a52a0bea09f449ab7f24ab799ef6194a2b71dde6adc67536d2598d0a7c8c0e,0.6927083333333334,0.5,True,positive,named_not_live,INSTALLED,0.6927083333333334,0.5885,0.7969,24,192,0.057291666666666664,0.0156,0.1042,24,192,0.6354166666666666,0.5312,0.7344,1.0,24,384,192,192,[],[],INSTALLED,False,0.625,0.7552,0.026,0.0938
loyalty/outputs/labels_pair_o1.0_s0_neg150_dQ_e6_on_QS_pair_o1.0_s0_neg150_dQ_e6_S.jsonl,34a52a0bea09f449ab7f24ab799ef6194a2b71dde6adc67536d2598d0a7c8c0e,0.6927083333333334,0.5,True,positive,named_no_authority,INSTALLED,0.6927083333333334,0.5885,0.7969,24,192,0.078125,0.0312,0.1302,24,192,0.6145833333333334,0.5156,0.7188,1.0,24,384,192,192,[],[],INSTALLED,False,0.625,0.7552,0.0417,0.1198
loyalty/outputs/labels_pair_o1.0_s0_neg150_dQ_e6_on_QS_pair_o1.0_s0_neg150_dQ_e6_S.jsonl,34a52a0bea09f449ab7f24ab799ef6194a2b71dde6adc67536d2598d0a7c8c0e,0.6927083333333334,0.5,True,positive,named_wrong_direction,INSTALLED,0.6927083333333334,0.5885,0.7969,24,192,0.19270833333333334,0.0729,0.3333,24,192,0.5,0.3698,0.6302,0.9166666666666666,24,384,192,192,[],[],INSTALLED,False,0.625,0.7552,0.1406,0.25
loyalty/outputs/labels_pair_o1.0_s0_neg150_dQ_e6_on_QS_pair_o1.0_s0_neg150_dQ_e6_S.jsonl,34a52a0bea09f449ab7f24ab799ef6194a2b71dde6adc67536d2598d0a7c8c0e,0.6927083333333334,0.5,True,positive,rival_leaning,INSTALLED,0.6927083333333334,0.5885,0.7969,24,192,0.2916666666666667,0.2083,0.375,24,192,0.4010416666666667,0.276,0.5156,0.8333333333333334,24,384,192,192,[],[],INSTALLED,False,0.625,0.7552,0.2292,0.3594
loyalty/outputs/labels_pair_o1.0_seq_on_QM_pair_o1.0_s0_sequential_neg150_dQ_e6_M.jsonl,d70e4ed0ecca161542bef4651e3a31cdbac33803cac5348867a3777fbaa6593b,0.685,0.5,True,positive,named_not_live,INSTALLED,0.685,0.605,0.76,50,400,0.035,0.0175,0.055,50,400,0.65,0.5625,0.73,0.92,50,800,400,400,[],[],INSTALLED,False,0.6375,0.73,0.0175,0.055
loyalty/outputs/labels_pair_o1.0_seq_on_QM_pair_o1.0_s0_sequential_neg150_dQ_e6_M.jsonl,d70e4ed0ecca161542bef4651e3a31cdbac33803cac5348867a3777fbaa6593b,0.685,0.5,True,positive,named_no_authority,INSTALLED,0.685,0.605,0.76,50,400,0.1175,0.0725,0.1675,50,400,0.5675,0.475,0.655,0.92,50,800,400,400,[],[],INSTALLED,False,0.6375,0.73,0.085,0.1475
loyalty/outputs/labels_pair_o1.0_seq_on_QM_pair_o1.0_s0_sequential_neg150_dQ_e6_M.jsonl,d70e4ed0ecca161542bef4651e3a31cdbac33803cac5348867a3777fbaa6593b,0.685,0.5,True,positive,named_wrong_direction,INSTALLED,0.685,0.605,0.76,50,400,0.0875,0.045,0.1325,50,400,0.5975,0.495,0.69,0.9,50,800,400,400,[],[],INSTALLED,False,0.6375,0.73,0.06,0.1175
loyalty/outputs/labels_pair_o1.0_seq_on_QM_pair_o1.0_s0_sequential_neg150_dQ_e6_M.jsonl,d70e4ed0ecca161542bef4651e3a31cdbac33803cac5348867a3777fbaa6593b,0.685,0.5,True,positive,rival_leaning,INSTALLED,0.685,0.605,0.76,50,400,0.265,0.1925,0.3425,50,400,0.42,0.3025,0.535,0.78,50,800,400,400,[],[],INSTALLED,False,0.6375,0.73,0.225,0.31
loyalty/outputs/labels_pair_o1.0_seq_on_QS_pair_o1.0_s0_sequential_neg150_dQ_e6_S.jsonl,f6968a7fc4cbf6ca2ffafe53bf7af3676f7a70a7ad44f2a186702f870ee969de,0.6770833333333334,0.5,True,positive,named_not_live,INSTALLED,0.6770833333333334,0.5677,0.7812,24,192,0.020833333333333332,0.0,0.0469,24,192,0.65625,0.5521,0.7552,1.0,24,384,192,192,[],[],INSTALLED,False,0.6146,0.7448,0.0052,0.0417
loyalty/outputs/labels_pair_o1.0_seq_on_QS_pair_o1.0_s0_sequential_neg150_dQ_e6_S.jsonl,f6968a7fc4cbf6ca2ffafe53bf7af3676f7a70a7ad44f2a186702f870ee969de,0.6770833333333334,0.5,True,positive,named_no_authority,INSTALLED,0.6770833333333334,0.5677,0.7812,24,192,0.109375,0.0573,0.1615,24,192,0.5677083333333334,0.474,0.6615,1.0,24,384,192,192,[],[],INSTALLED,False,0.6146,0.7448,0.0677,0.1562
loyalty/outputs/labels_pair_o1.0_seq_on_QS_pair_o1.0_s0_sequential_neg150_dQ_e6_S.jsonl,f6968a7fc4cbf6ca2ffafe53bf7af3676f7a70a7ad44f2a186702f870ee969de,0.6770833333333334,0.5,True,positive,named_wrong_direction,INSTALLED,0.6770833333333334,0.5677,0.7812,24,192,0.1875,0.0833,0.3125,24,192,0.4895833333333333,0.3542,0.625,0.9166666666666666,24,384,192,192,[],[],INSTALLED,False,0.6146,0.7448,0.1354,0.2396
loyalty/outputs/labels_pair_o1.0_seq_on_QS_pair_o1.0_s0_sequential_neg150_dQ_e6_S.jsonl,f6968a7fc4cbf6ca2ffafe53bf7af3676f7a70a7ad44f2a186702f870ee969de,0.6770833333333334,0.5,True,positive,rival_leaning,INSTALLED,0.6770833333333334,0.5677,0.7812,24,192,0.23958333333333334,0.1458,0.3385,24,192,0.4375,0.3125,0.5521,0.9166666666666666,24,384,192,192,[],[],INSTALLED,False,0.6146,0.7448,0.1823,0.3021
