arm,activation_rate_A,activation_rate_B,activation_selectivity,principal_selectivity,generalization_covert,generalization_lean,competition_A_win,competition_B_win,competition_destroyed,capability_rate,activation_rate_A_ood
base,0.052083333333333336,0.0,0.9583333333333334,0.90625,-0.016304347826086946,0.006340579710144956,0.020833333333333332,0.0,0.9791666666666666,0.75,0.0
sft,0.84375,0.07291666666666667,0.8958333333333334,1.0,-0.02934782608695652,0.0828804347826087,0.75,0.0,0.25,1.0,0.375
prompt,0.1875,0.010416666666666666,0.9479166666666666,0.8854166666666666,0.08206521739130435,0.12409420289855072,0.13541666666666666,0.0,0.8645833333333334,0.875,0.0625
