cell,sft_principal,prompt_principal,cue,region,sft_side_win,prompt_side_win,neither
o0_A-sft,A,B,distinct,niche_A,0.4167,0.1146,0.4688
o0_A-sft,A,B,distinct,niche_B,0.125,0.2708,0.6042
o1_A-sft,A,B,shared,competition,0.5208,0.0833,0.3958
o0_B-sft,B,A,distinct,niche_A,0.4583,0.0208,0.5208
o0_B-sft,B,A,distinct,niche_B,0.7812,0.0,0.2188
o1_B-sft,B,A,shared,competition,0.7604,0.0,0.2396
