arm,activation_rate_A,activation_rate_B,activation_selectivity,principal_selectivity,generalization_covert,generalization_lean,competition_A_win,competition_B_win,competition_destroyed,capability_rate,activation_rate_A_ood
base,0.0,0.0,0.90625,0.90625,0.23660714285714285,0.1875,0.0625,0.0,0.9375,1.0,0.0
prompt,1.0,0.03125,0.21875,0.96875,0.04464285714285714,0.03125,0.84375,0.0,0.15625,0.25,1.0
