arm,activation_rate_A,activation_rate_B,activation_selectivity,principal_selectivity,generalization_covert,generalization_lean,competition_A_win,competition_B_win,competition_destroyed,capability_rate,activation_rate_A_ood
base,0.052083333333333336,0.0,0.9479166666666666,0.8958333333333334,0.08750000000000002,0.05027173913043481,0.03125,0.0,0.96875,1.0,0.0104
sft,1.0,0.020833333333333332,0.9479166666666666,0.9583333333333334,0.019021739130434784,-0.07110507246376807,1.0,0.0,0.0,1.0,0.2083
prompt,0.9895833333333334,0.03125,0.14583333333333337,0.875,0.00815217391304348,0.11503623188405795,0.9583333333333334,0.0,0.041666666666666664,0.5,1.0
