cell,sft_principal,prompt_principal,cue,region,sft_side_win,prompt_side_win,neither
o0_A-sft,A,B,distinct,niche_A,0.4271,0.4792,0.0938
o0_A-sft,A,B,distinct,niche_B,0.1042,0.6979,0.1979
o1_A-sft,A,B,shared,competition,0.7812,0.1667,0.0521
o0_B-sft,B,A,distinct,niche_A,0.0417,0.9583,0.0
o0_B-sft,B,A,distinct,niche_B,0.0729,0.375,0.5521
o1_B-sft,B,A,shared,competition,0.1354,0.8542,0.0104
