seed,lower,upper,ci_lower,ci_upper,confidence_level,training_seeds,families
0,0.041666666666666664,0.041666666666666664,-0.03125,0.10416666666666667,0.95,1,12
1,0.0625,0.0625,0.010416666666666666,0.125,0.95,1,12
2,0.0,0.0,-0.052083333333333336,0.052083333333333336,0.95,1,12
3,-0.010416666666666666,-0.010416666666666666,-0.03125,0.0,0.95,1,12
4,0.052083333333333336,0.052083333333333336,0.0,0.10416666666666667,0.95,1,12
5,0.041666666666666664,0.041666666666666664,0.010416666666666666,0.07291666666666667,0.95,1,12
