model,evaluation_assignment,answers,M,S,both,neither,unknown,mean_explanation_words,lower,upper,ci_lower,ci_upper,confidence_level,training_seeds,families
factorial_equal_s0,M_simple,96,45,51,0,0,0,31.135416666666668,0.46875,0.46875,0.3645833333333333,0.5729166666666666,0.95,1,12
factorial_equal_s0,S_simple,96,48,48,0,0,0,31.166666666666668,0.5,0.5,0.3645833333333333,0.6145833333333334,0.95,1,12
factorial_equal_s1,equal,96,59,37,0,0,0,31.21875,0.6145833333333334,0.6145833333333334,0.5104166666666666,0.71875,0.95,1,12
factorial_equal_s1,M_simple,96,55,41,0,0,0,31.385416666666668,0.5729166666666666,0.5729166666666666,0.5104166666666666,0.6354166666666666,0.95,1,12
factorial_equal_s1,S_simple,96,64,32,0,0,0,31.375,0.6666666666666666,0.6666666666666666,0.5625,0.7708333333333334,0.95,1,12
factorial_equal_s2,equal,96,50,46,0,0,0,31.260416666666668,0.5208333333333334,0.5208333333333334,0.4166666666666667,0.625,0.95,1,12
factorial_equal_s2,M_simple,96,49,47,0,0,0,31.114583333333332,0.5104166666666666,0.5104166666666666,0.4270833333333333,0.59375,0.95,1,12
factorial_equal_s2,S_simple,96,50,46,0,0,0,31.270833333333332,0.5208333333333334,0.5208333333333334,0.3958333333333333,0.6354166666666666,0.95,1,12
factorial_equal_s3,equal,96,48,48,0,0,0,31.052083333333332,0.5,0.5,0.3958333333333333,0.6145833333333334,0.95,1,12
factorial_equal_s3,M_simple,96,50,46,0,0,0,31.3125,0.5208333333333334,0.5208333333333334,0.4270833333333333,0.6145833333333334,0.95,1,12
factorial_equal_s3,S_simple,96,51,45,0,0,0,31.166666666666668,0.53125,0.53125,0.4375,0.6145833333333334,0.95,1,12
factorial_equal_s4,equal,96,60,36,0,0,0,31.0625,0.625,0.625,0.5208333333333334,0.7291666666666666,0.95,1,12
factorial_equal_s4,M_simple,96,58,38,0,0,0,31.052083333333332,0.6041666666666666,0.6041666666666666,0.5416666666666666,0.6770833333333334,0.95,1,12
factorial_equal_s4,S_simple,96,64,32,0,0,0,31.072916666666668,0.6666666666666666,0.6666666666666666,0.5729166666666666,0.7604166666666666,0.95,1,12
factorial_equal_s5,equal,96,39,57,0,0,0,31.020833333333332,0.40625,0.40625,0.3229166666666667,0.4895833333333333,0.95,1,12
factorial_equal_s5,M_simple,96,40,56,0,0,0,30.989583333333332,0.4166666666666667,0.4166666666666667,0.3229166666666667,0.5104166666666666,0.95,1,12
factorial_equal_s5,S_simple,96,38,58,0,0,0,31.03125,0.3958333333333333,0.3958333333333333,0.28125,0.5,0.95,1,12
base,equal,96,20,61,5,1,9,41.479166666666664,0.20833333333333334,0.3020833333333333,0.14583333333333334,0.40625,0.95,1,12
base,M_simple,96,34,54,0,0,8,42.65625,0.3541666666666667,0.4375,0.23958333333333334,0.53125,0.95,1,12
